"id","year","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp"
800372,2016,NA,40,0,1,1
800372,2017,50,50,0,0,0
800372,2018,NA,50,0,0,0
800372,2019,46,46,0,0,0
800372,2020,42,42,0,0,1
800372,2021,NA,42,0,0,1
800372,2022,37,37,0,1,1
800375,2008,59,59,0,0,0
800375,2009,61,61,0,0,0
800375,2010,NA,61,0,0,0
800375,2011,56,56,0,0,0
800375,2012,NA,56,0,0,0
800375,2013,53,53,0,0,0
800384,2012,43,43,0,0,1
800384,2013,42,42,0,0,1
800384,2014,38,38,0,1,1
800387,2008,55,55,0,0,0
800387,2009,67,67,0,0,0
800387,2010,NA,67,0,0,0
800387,2011,64,64,0,0,0
800387,2012,NA,64,0,0,0
800387,2013,63,63,0,0,0
800392,2020,49,49,0,0,0
800392,2021,66,66,0,0,0
800392,2022,61,61,0,0,0
800393,2008,66,66,0,0,0
800393,2009,62,62,0,0,0
800393,2010,NA,62,0,0,0
800393,2011,58,58,0,0,0
800393,2012,NA,58,0,0,0
800393,2013,62,62,0,0,0
800393,2014,64,64,0,0,0
800399,2008,55,55,0,0,0
800399,2009,57,57,0,0,0
800402,2010,56,56,0,0,0
800402,2011,49,49,0,0,0
800402,2012,NA,49,0,0,0
800405,2012,53,53,0,0,0
800405,2013,NA,53,0,0,0
800405,2014,46,46,0,0,0
800408,2008,57,57,0,0,0
800408,2009,59,59,0,0,0
800408,2010,NA,59,0,0,0
800408,2011,59,59,0,0,0
800408,2012,NA,59,0,0,0
800408,2013,NA,59,0,0,0
800408,2014,60,60,0,0,0
800418,2012,45,45,0,0,1
800418,2013,40,40,0,1,1
800418,2014,52,52,0,0,0
800418,2015,NA,52,0,0,0
800418,2016,NA,52,0,0,0
800424,2008,26,26,1,1,1
800424,2009,38,38,0,1,1
800424,2010,NA,38,0,1,1
800424,2011,42,42,0,0,1
800424,2012,NA,42,0,0,1
800424,2013,NA,42,0,0,1
800424,2014,44,44,0,0,1
800427,2014,41,41,0,0,1
800430,2008,61,61,0,0,0
800430,2009,60,60,0,0,0
800430,2010,NA,60,0,0,0
800430,2011,58,58,0,0,0
800430,2012,NA,58,0,0,0
800430,2013,65,65,0,0,0
800430,2014,61,61,0,0,0
800430,2015,NA,61,0,0,0
800430,2016,NA,61,0,0,0
800438,2020,54,54,0,0,0
800438,2021,62,62,0,0,0
800440,2019,64,64,0,0,0
800440,2020,59,59,0,0,0
800440,2021,60,60,0,0,0
800440,2022,69,69,0,0,0
800442,2008,54,54,0,0,0
800445,2012,51,51,0,0,0
800445,2013,42,42,0,0,1
800445,2014,48,48,0,0,0
800445,2015,NA,48,0,0,0
800445,2016,NA,48,0,0,0
800445,2017,43,43,0,0,1
800445,2018,NA,43,0,0,1
800445,2019,41,41,0,0,1
800445,2020,44,44,0,0,1
800445,2021,40,40,0,1,1
800445,2022,44,44,0,0,1
800457,2014,58,58,0,0,0
800463,2014,42,42,0,0,1
800463,2015,NA,42,0,0,1
800463,2016,NA,42,0,0,1
800463,2017,30,30,1,1,1
800463,2018,NA,30,1,1,1
800463,2019,29,29,1,1,1
800463,2020,16,16,1,1,1
800463,2021,20,20,1,1,1
800463,2022,29,29,1,1,1
800473,2015,61,61,0,0,0
800473,2016,NA,61,0,0,0
800473,2017,63,63,0,0,0
800485,2010,53,53,0,0,0
800497,2008,70,70,0,0,0
800497,2009,70,70,0,0,0
800497,2010,NA,70,0,0,0
800497,2011,70,70,0,0,0
800497,2012,NA,70,0,0,0
800497,2013,68,68,0,0,0
800497,2014,70,70,0,0,0
800497,2015,NA,70,0,0,0
800497,2016,NA,70,0,0,0
800497,2017,65,65,0,0,0
800497,2018,NA,65,0,0,0
800497,2019,70,70,0,0,0
800497,2020,70,70,0,0,0
800497,2021,58,58,0,0,0
800497,2022,61,61,0,0,0
800500,2008,61,61,0,0,0
800500,2009,55,55,0,0,0
800500,2010,NA,55,0,0,0
800500,2011,50,50,0,0,0
800500,2012,NA,50,0,0,0
800500,2013,65,65,0,0,0
800500,2014,41,41,0,0,1
800500,2015,NA,41,0,0,1
800500,2016,NA,41,0,0,1
800500,2017,45,45,0,0,1
800500,2018,NA,45,0,0,1
800500,2019,50,50,0,0,0
800500,2020,57,57,0,0,0
800500,2021,47,47,0,0,0
800500,2022,65,65,0,0,0
800501,2022,62,62,0,0,0
800503,2008,51,51,0,0,0
800503,2009,52,52,0,0,0
800503,2010,NA,52,0,0,0
800503,2011,53,53,0,0,0
800503,2012,NA,53,0,0,0
800503,2013,52,52,0,0,0
800503,2014,57,57,0,0,0
800503,2015,NA,57,0,0,0
800503,2016,NA,57,0,0,0
800509,2008,66,66,0,0,0
800509,2009,66,66,0,0,0
800509,2010,NA,66,0,0,0
800509,2011,66,66,0,0,0
800509,2012,NA,66,0,0,0
800509,2013,60,60,0,0,0
800512,2018,48,48,0,0,0
800527,2008,57,57,0,0,0
800527,2009,52,52,0,0,0
800527,2010,NA,52,0,0,0
800534,2008,54,54,0,0,0
800534,2009,57,57,0,0,0
800534,2010,NA,57,0,0,0
800534,2011,NA,57,0,0,0
800534,2012,55,55,0,0,0
800534,2013,58,58,0,0,0
800537,2008,60,60,0,0,0
800537,2009,64,64,0,0,0
800538,2018,48,48,0,0,0
800540,2008,70,70,0,0,0
800540,2009,NA,70,0,0,0
800540,2010,NA,70,0,0,0
800540,2011,54,54,0,0,0
800540,2012,NA,54,0,0,0
800540,2013,40,40,0,1,1
800540,2014,65,65,0,0,0
800540,2015,NA,65,0,0,0
800540,2016,NA,65,0,0,0
800540,2017,40,40,0,1,1
800543,2015,59,59,0,0,0
800543,2016,NA,59,0,0,0
800543,2017,48,48,0,0,0
800543,2018,NA,48,0,0,0
800546,2008,61,61,0,0,0
800546,2009,51,51,0,0,0
800552,2008,61,61,0,0,0
800552,2009,64,64,0,0,0
800552,2010,NA,64,0,0,0
800552,2011,59,59,0,0,0
800552,2012,NA,59,0,0,0
800552,2013,56,56,0,0,0
